embarque;ID;dt_saida;uf_remet;uf_dest;cliente;rota;km;qtd_eixos;frete_sem_icms;icms;frete_com_icms
006262;AMG6262;2026-01-28;MG;RS;Cliente A;MG x RS;1731;7;11858.28;1422.99;13281.27
006263;CMG6263;2025-12-25;MG;RS;Cliente C;MG x RS;1700;5;12642.64;1517.12;14159.76
006264;APR6264;2025-10-13;PR;PE;Cliente A;PR x PE;2638;5;17214.32;0.0;17214.32
006265;DMG6265;2025-09-24;MG;RS;Cliente D;MG x RS;1729;9;16173.75;0.0;16173.75
006266;CMG6266;2026-01-05;MG;RS;Cliente C;MG x RS;1690;5;12733.91;891.37;13625.28
006267;DGO6267;2025-08-14;GO;SP;Cliente D;GO x SP;936;6;6792.16;815.06;7607.22
006268;APR6268;2025-11-13;PR;PE;Cliente A;PR x PE;2620;6;22462.81;1572.4;24035.21
006269;EMG6269;2026-01-13;MG;RS;Cliente E;MG x RS;1702;7;13410.83;0.0;13410.83
006270;DGO6270;2026-03-22;GO;SP;Cliente D;GO x SP;930;5;7263.53;508.45;7771.98
006271;ARJ6271;2025-09-17;RJ;MG;Cliente A;RJ x MG;454;9;4980.17;0.0;4980.17
006272;AMS6272;2026-03-26;MS;MG;Cliente A;MS x MG;1018;5;6962.06;0.0;6962.06
006273;BSC6273;2026-03-06;SC;SP;Cliente B;SC x SP;731;6;5802.94;406.21;6209.15
006274;APR6274;2026-01-13;PR;PE;Cliente A;PR x PE;2666;9;19214.94;0.0;19214.94
006275;AGO6275;2026-02-28;GO;SP;Cliente A;GO x SP;907;9;8727.01;610.89;9337.9
006276;APR6276;2026-03-28;PR;PE;Cliente A;PR x PE;2650;7;16847.3;2021.68;18868.98
006277;AMG6277;2025-10-06;MG;RS;Cliente A;MG x RS;1719;5;12826.27;897.84;13724.11
006278;BMG6278;2026-01-23;MG;RS;Cliente B;MG x RS;1692;9;16907.91;0.0;16907.91
006279;DMG6279;2026-01-11;MG;RS;Cliente D;MG x RS;1726;5;13466.42;942.65;14409.07
006280;APR6280;2025-11-25;PR;PE;Cliente A;PR x PE;2650;6;21490.66;2578.88;24069.54
006281;EGO6281;2026-01-22;GO;SP;Cliente E;GO x SP;944;6;7892.9;0.0;7892.9
006282;ASC6282;2025-08-20;SC;SP;Cliente A;SC x SP;708;7;5648.13;0.0;5648.13
006283;BGO6283;2025-09-12;GO;SP;Cliente B;GO x SP;932;6;7121.6;0.0;7121.6
006284;AGO6284;2025-08-24;GO;SP;Cliente A;GO x SP;941;9;9289.22;650.25;9939.47
006285;BRJ6285;2025-12-22;RJ;MG;Cliente B;RJ x MG;433;5;3078.68;0.0;3078.68
006286;EMS6286;2026-02-26;MS;MG;Cliente E;MS x MG;1024;7;7962.19;557.35;8519.54
006287;ARJ6287;2025-12-17;RJ;MG;Cliente A;RJ x MG;426;5;3335.68;400.28;3735.96
006288;AMG6288;2026-02-13;MG;RS;Cliente A;MG x RS;1708;6;10563.2;0.0;10563.2
006289;ASP6289;2025-11-23;SP;CE;Cliente A;SP x CE;2837;9;30786.79;2155.08;32941.87
006290;DSP6290;2025-12-16;SP;CE;Cliente D;SP x CE;2787;6;21601.44;1512.1;23113.54
006291;AMS6291;2026-01-20;MS;MG;Cliente A;MS x MG;1018;9;10003.14;700.22;10703.36
006292;ASC6292;2025-10-10;SC;SP;Cliente A;SC x SP;697;6;4475.54;0.0;4475.54
006293;ARJ6293;2025-10-01;RJ;MG;Cliente A;RJ x MG;443;5;2256.78;157.97;2414.75
006294;AMS6294;2025-09-29;MS;MG;Cliente A;MS x MG;1024;9;10780.74;0.0;10780.74
006295;AMG6295;2025-12-26;MG;RS;Cliente A;MG x RS;1696;7;15288.06;1834.57;17122.63
006296;AGO6296;2025-10-10;GO;SP;Cliente A;GO x SP;922;7;6565.43;0.0;6565.43
006297;ARJ6297;2025-08-13;RJ;MG;Cliente A;RJ x MG;439;9;4796.46;0.0;4796.46
006298;BSP6298;2025-11-13;SP;CE;Cliente B;SP x CE;2824;9;26099.65;3131.96;29231.61
006299;AGO6299;2026-02-23;GO;SP;Cliente A;GO x SP;915;6;6574.04;788.88;7362.92
006300;CPR6300;2025-10-05;PR;PE;Cliente C;PR x PE;2644;6;19646.59;0.0;19646.59
006301;BSP6301;2025-08-14;SP;CE;Cliente B;SP x CE;2785;6;21000.37;0.0;21000.37
006302;CMS6302;2025-09-18;MS;MG;Cliente C;MS x MG;1054;5;8044.23;0.0;8044.23
006303;DGO6303;2026-03-11;GO;SP;Cliente D;GO x SP;926;6;7980.38;558.63;8539.01
006304;AGO6304;2026-02-08;GO;SP;Cliente A;GO x SP;943;5;6728.64;471.0;7199.64
006305;AGO6305;2026-02-15;GO;SP;Cliente A;GO x SP;931;7;6131.14;0.0;6131.14
006306;AMG6306;2025-11-28;MG;RS;Cliente A;MG x RS;1705;9;14017.11;1682.05;15699.16
006307;ASP6307;2025-08-12;SP;CE;Cliente A;SP x CE;2800;9;26306.58;3156.79;29463.37
006308;CRJ6308;2025-09-20;RJ;MG;Cliente C;RJ x MG;422;6;3225.83;225.81;3451.64
006309;BSP6309;2026-02-02;SP;CE;Cliente B;SP x CE;2796;9;28766.93;2013.69;30780.62
006310;ESP6310;2026-02-01;SP;CE;Cliente E;SP x CE;2790;6;22347.33;1564.31;23911.64
006311;BMS6311;2026-03-30;MS;MG;Cliente B;MS x MG;1052;5;8050.37;563.53;8613.9
006312;APR6312;2025-08-18;PR;PE;Cliente A;PR x PE;2673;6;18986.12;0.0;18986.12
006313;AMS6313;2026-01-16;MS;MG;Cliente A;MS x MG;1038;9;9278.74;0.0;9278.74
006314;AMS6314;2025-12-16;MS;MG;Cliente A;MS x MG;1032;7;8051.37;0.0;8051.37
006315;DRJ6315;2025-08-28;RJ;MG;Cliente D;RJ x MG;455;6;3929.7;0.0;3929.7
006316;AGO6316;2026-02-25;GO;SP;Cliente A;GO x SP;935;7;6498.6;779.83;7278.43
006317;BGO6317;2025-10-16;GO;SP;Cliente B;GO x SP;940;6;7747.31;0.0;7747.31
006318;DMS6318;2025-11-06;MS;MG;Cliente D;MS x MG;1004;9;9765.39;683.58;10448.97
006319;DPR6319;2026-03-05;PR;PE;Cliente D;PR x PE;2625;9;25848.53;0.0;25848.53
006320;CSP6320;2025-09-28;SP;BA;Cliente C;SP x BA;1467;5;9869.11;0.0;9869.11
006321;CSC6321;2026-03-25;SC;SP;Cliente C;SC x SP;692;5;4510.72;0.0;4510.72
006322;BMS6322;2025-08-05;MS;MG;Cliente B;MS x MG;1010;7;9644.21;0.0;9644.21
006323;ERJ6323;2025-10-16;RJ;MG;Cliente E;RJ x MG;463;5;3080.22;369.63;3449.85
006324;DSP6324;2026-02-19;SP;CE;Cliente D;SP x CE;2804;6;24550.58;0.0;24550.58
006325;BSP6325;2025-11-20;SP;CE;Cliente B;SP x CE;2783;5;18810.35;2257.24;21067.59
006326;ESP6326;2026-02-17;SP;CE;Cliente E;SP x CE;2781;7;26715.08;3205.81;29920.89
006327;CRJ6327;2026-01-22;RJ;MG;Cliente C;RJ x MG;431;6;3480.83;417.7;3898.53
006328;ASP6328;2025-09-09;SP;BA;Cliente A;SP x BA;1415;7;9817.44;1178.09;10995.53
006329;ASP6329;2025-08-02;SP;CE;Cliente A;SP x CE;2786;5;19733.86;0.0;19733.86
006330;APR6330;2025-11-19;PR;PE;Cliente A;PR x PE;2625;6;21062.01;1474.34;22536.35
006331;ASP6331;2025-12-31;SP;CE;Cliente A;SP x CE;2815;5;19422.81;2330.74;21753.55
006332;ARJ6332;2026-02-02;RJ;MG;Cliente A;RJ x MG;453;5;3526.81;0.0;3526.81
006333;CPR6333;2025-09-13;PR;PE;Cliente C;PR x PE;2663;9;24552.95;2946.35;27499.3
006334;ASP6334;2025-10-10;SP;BA;Cliente A;SP x BA;1420;9;14134.67;1696.16;15830.83
006335;ASC6335;2025-11-26;SC;SP;Cliente A;SC x SP;713;6;4166.39;0.0;4166.39
006336;ARJ6336;2025-11-21;RJ;MG;Cliente A;RJ x MG;455;7;3172.8;0.0;3172.8
006337;CPR6337;2026-01-02;PR;PE;Cliente C;PR x PE;2639;7;25129.79;3015.57;28145.36
006338;ARJ6338;2026-02-05;RJ;MG;Cliente A;RJ x MG;424;7;3679.63;0.0;3679.63
006339;ASP6339;2026-02-26;SP;CE;Cliente A;SP x CE;2804;7;23680.56;0.0;23680.56
006340;APR6340;2026-02-03;PR;PE;Cliente A;PR x PE;2663;5;19933.25;2391.99;22325.24
006341;DSP6341;2026-01-20;SP;BA;Cliente D;SP x BA;1462;9;14599.56;0.0;14599.56
006342;AMG6342;2026-01-31;MG;RS;Cliente A;MG x RS;1724;6;13315.61;1597.87;14913.48
006343;CRJ6343;2025-12-18;RJ;MG;Cliente C;RJ x MG;438;9;3943.37;0.0;3943.37
006344;DSP6344;2026-01-16;SP;BA;Cliente D;SP x BA;1416;6;11624.19;813.69;12437.88
006345;CRJ6345;2026-02-20;RJ;MG;Cliente C;RJ x MG;452;7;3871.99;464.64;4336.63
006346;AGO6346;2025-11-09;GO;SP;Cliente A;GO x SP;924;7;8341.11;0.0;8341.11
006347;ASP6347;2025-08-27;SP;CE;Cliente A;SP x CE;2781;9;22647.62;1585.33;24232.95
006348;AMG6348;2026-02-17;MG;RS;Cliente A;MG x RS;1703;9;12918.5;1550.22;14468.72
006349;ESC6349;2025-10-16;SC;SP;Cliente E;SC x SP;695;5;4498.83;0.0;4498.83
006350;ASP6350;2026-01-21;SP;CE;Cliente A;SP x CE;2821;5;22069.05;0.0;22069.05
006351;BPR6351;2025-10-24;PR;PE;Cliente B;PR x PE;2655;6;21325.61;0.0;21325.61
006352;ARJ6352;2025-09-17;RJ;MG;Cliente A;RJ x MG;444;6;3470.63;242.94;3713.57
006353;BRJ6353;2026-01-28;RJ;MG;Cliente B;RJ x MG;428;5;2881.54;201.71;3083.25
006354;CSP6354;2025-11-02;SP;BA;Cliente C;SP x BA;1461;6;11158.53;1339.02;12497.55
006355;DSC6355;2025-12-31;SC;SP;Cliente D;SC x SP;708;7;6010.2;420.71;6430.91
006356;ASP6356;2026-01-06;SP;CE;Cliente A;SP x CE;2834;9;22186.89;0.0;22186.89
006357;CSP6357;2025-10-20;SP;BA;Cliente C;SP x BA;1453;6;10587.13;741.1;11328.23
006358;APR6358;2025-11-16;PR;PE;Cliente A;PR x PE;2652;9;26908.42;3229.01;30137.43
006359;CPR6359;2025-12-04;PR;PE;Cliente C;PR x PE;2655;6;20111.38;2413.37;22524.75
006360;CMS6360;2025-08-03;MS;MG;Cliente C;MS x MG;1054;7;9134.52;1096.14;10230.66
006361;CSC6361;2025-11-15;SC;SP;Cliente C;SC x SP;701;9;7314.27;512.0;7826.27
006362;AMS6362;2025-10-14;MS;MG;Cliente A;MS x MG;1049;6;6045.02;725.4;6770.42
006363;CSC6363;2025-12-25;SC;SP;Cliente C;SC x SP;710;5;4671.21;0.0;4671.21
006364;AMS6364;2025-12-18;MS;MG;Cliente A;MS x MG;1047;9;7865.14;0.0;7865.14
006365;DGO6365;2025-11-24;GO;SP;Cliente D;GO x SP;915;5;6227.3;0.0;6227.3
006366;ASC6366;2026-02-15;SC;SP;Cliente A;SC x SP;730;5;4909.3;0.0;4909.3
006367;DSP6367;2025-09-12;SP;CE;Cliente D;SP x CE;2835;9;29014.3;0.0;29014.3
006368;AMS6368;2025-12-15;MS;MG;Cliente A;MS x MG;1035;7;6899.34;827.92;7727.26
006369;AMG6369;2025-09-04;MG;RS;Cliente A;MG x RS;1742;5;13244.74;0.0;13244.74
006370;APR6370;2025-10-03;PR;PE;Cliente A;PR x PE;2664;6;15614.03;1873.68;17487.71
006371;BPR6371;2026-01-08;PR;PE;Cliente B;PR x PE;2656;7;22672.46;1587.07;24259.53
006372;AMG6372;2025-11-25;MG;RS;Cliente A;MG x RS;1726;7;14456.09;1011.93;15468.02
006373;ESC6373;2026-03-06;SC;SP;Cliente E;SC x SP;715;7;5639.32;0.0;5639.32
006374;ARJ6374;2025-12-05;RJ;MG;Cliente A;RJ x MG;456;6;2906.41;203.45;3109.86
006375;CSC6375;2026-03-17;SC;SP;Cliente C;SC x SP;725;7;6548.72;458.41;7007.13
006376;CSC6376;2026-03-26;SC;SP;Cliente C;SC x SP;676;5;5213.93;364.98;5578.91
006377;AGO6377;2026-03-14;GO;SP;Cliente A;GO x SP;940;6;6914.43;0.0;6914.43
006378;ASP6378;2025-10-04;SP;BA;Cliente A;SP x BA;1451;7;9874.93;0.0;9874.93
006379;ARJ6379;2026-02-02;RJ;MG;Cliente A;RJ x MG;444;7;3642.21;0.0;3642.21
006380;DSP6380;2025-12-01;SP;BA;Cliente D;SP x BA;1410;6;10178.82;0.0;10178.82
006381;BSC6381;2026-01-26;SC;SP;Cliente B;SC x SP;675;5;4677.04;561.24;5238.28
006382;DPR6382;2025-09-28;PR;PE;Cliente D;PR x PE;2650;5;18521.33;0.0;18521.33
006383;ASP6383;2026-03-14;SP;BA;Cliente A;SP x BA;1430;7;9284.73;0.0;9284.73
006384;APR6384;2026-01-04;PR;PE;Cliente A;PR x PE;2624;5;18567.82;0.0;18567.82
006385;CPR6385;2026-01-05;PR;PE;Cliente C;PR x PE;2678;9;27808.23;0.0;27808.23
006386;ASP6386;2025-12-29;SP;BA;Cliente A;SP x BA;1418;5;9842.47;688.97;10531.44
006387;AMG6387;2025-10-03;MG;RS;Cliente A;MG x RS;1723;5;12612.38;0.0;12612.38
006388;EMS6388;2025-09-22;MS;MG;Cliente E;MS x MG;1053;7;9190.41;0.0;9190.41
006389;ERJ6389;2026-02-17;RJ;MG;Cliente E;RJ x MG;422;5;3280.76;0.0;3280.76
006390;BRJ6390;2025-12-06;RJ;MG;Cliente B;RJ x MG;411;6;3355.51;234.89;3590.4
006391;ASP6391;2026-03-09;SP;CE;Cliente A;SP x CE;2788;9;27376.31;0.0;27376.31
006392;ASC6392;2025-08-05;SC;SP;Cliente A;SC x SP;724;5;4652.45;325.67;4978.12
006393;AMG6393;2025-11-17;MG;RS;Cliente A;MG x RS;1722;9;15670.47;0.0;15670.47
006394;CPR6394;2025-10-19;PR;PE;Cliente C;PR x PE;2637;5;17207.76;0.0;17207.76
006395;ASP6395;2025-10-19;SP;CE;Cliente A;SP x CE;2805;5;21088.51;0.0;21088.51
006396;AGO6396;2025-08-30;GO;SP;Cliente A;GO x SP;901;9;9207.11;644.5;9851.61
006397;AMS6397;2026-01-27;MS;MG;Cliente A;MS x MG;1044;6;6303.27;756.39;7059.66
006398;ASP6398;2026-02-04;SP;CE;Cliente A;SP x CE;2788;7;25641.64;3077.0;28718.64
006399;ASP6399;2025-12-06;SP;BA;Cliente A;SP x BA;1426;5;9916.67;694.17;10610.84
006400;APR6400;2026-03-17;PR;PE;Cliente A;PR x PE;2636;5;19789.08;1385.24;21174.32
006401;AMS6401;2025-11-29;MS;MG;Cliente A;MS x MG;1014;5;5925.82;414.81;6340.63
006402;CRJ6402;2025-10-03;RJ;MG;Cliente C;RJ x MG;418;7;3569.75;0.0;3569.75
006403;ASP6403;2025-08-31;SP;BA;Cliente A;SP x BA;1446;7;13648.2;955.37;14603.57
006404;ASP6404;2026-03-10;SP;BA;Cliente A;SP x BA;1466;9;11797.16;1415.66;13212.82
006405;ASP6405;2025-12-23;SP;CE;Cliente A;SP x CE;2792;7;25513.9;3061.67;28575.57
006406;CSC6406;2026-02-04;SC;SP;Cliente C;SC x SP;724;6;6231.47;0.0;6231.47
006407;APR6407;2025-08-07;PR;PE;Cliente A;PR x PE;2620;9;19418.63;0.0;19418.63
006408;ASP6408;2026-03-06;SP;CE;Cliente A;SP x CE;2780;9;26628.12;1863.97;28492.09
006409;ASC6409;2026-01-30;SC;SP;Cliente A;SC x SP;678;6;3782.87;453.94;4236.81
006410;DSP6410;2025-12-27;SP;CE;Cliente D;SP x CE;2809;5;18401.07;2208.13;20609.2
006411;AMS6411;2025-09-30;MS;MG;Cliente A;MS x MG;1026;6;6562.86;0.0;6562.86
006412;ASP6412;2025-10-09;SP;CE;Cliente A;SP x CE;2800;9;22884.49;1601.91;24486.4
006413;ASP6413;2025-11-28;SP;BA;Cliente A;SP x BA;1420;9;10115.99;708.12;10824.11
006414;BMG6414;2026-03-07;MG;RS;Cliente B;MG x RS;1711;7;13674.04;1640.88;15314.92
006415;DMS6415;2025-09-07;MS;MG;Cliente D;MS x MG;1012;7;8034.01;964.08;8998.09
006416;AMS6416;2025-10-06;MS;MG;Cliente A;MS x MG;1042;7;8431.5;0.0;8431.5
006417;BGO6417;2025-08-27;GO;SP;Cliente B;GO x SP;902;9;9591.22;671.39;10262.61
006418;AGO6418;2026-02-27;GO;SP;Cliente A;GO x SP;904;6;7454.03;0.0;7454.03
006419;AMG6419;2025-08-06;MG;RS;Cliente A;MG x RS;1740;5;11669.43;0.0;11669.43
006420;ASP6420;2025-09-01;SP;BA;Cliente A;SP x BA;1467;7;9652.43;1158.29;10810.72
006421;ERJ6421;2025-11-06;RJ;MG;Cliente E;RJ x MG;435;5;3239.4;226.76;3466.16
006422;AMG6422;2026-03-15;MG;RS;Cliente A;MG x RS;1699;9;13172.32;0.0;13172.32
006423;DMG6423;2026-03-14;MG;RS;Cliente D;MG x RS;1713;9;17293.1;2075.17;19368.27
006424;APR6424;2026-01-12;PR;PE;Cliente A;PR x PE;2646;6;21101.35;0.0;21101.35
006425;BMS6425;2025-12-01;MS;MG;Cliente B;MS x MG;1023;7;8979.24;1077.51;10056.75
006426;AMG6426;2025-10-21;MG;RS;Cliente A;MG x RS;1693;5;10919.32;0.0;10919.32
006427;AMS6427;2025-12-14;MS;MG;Cliente A;MS x MG;1050;9;8100.32;567.02;8667.34
006428;AGO6428;2025-10-08;GO;SP;Cliente A;GO x SP;938;6;7900.5;0.0;7900.5
006429;EGO6429;2025-10-30;GO;SP;Cliente E;GO x SP;932;9;10170.28;0.0;10170.28
006430;APR6430;2026-02-23;PR;PE;Cliente A;PR x PE;2635;7;22222.93;0.0;22222.93
006431;DSP6431;2025-12-23;SP;CE;Cliente D;SP x CE;2840;6;24673.56;0.0;24673.56
006432;BMG6432;2025-08-10;MG;RS;Cliente B;MG x RS;1693;9;15434.74;1080.43;16515.17
006433;ASC6433;2026-03-23;SC;SP;Cliente A;SC x SP;675;7;6251.8;437.63;6689.43
006434;AMS6434;2025-12-29;MS;MG;Cliente A;MS x MG;1000;6;7326.54;879.18;8205.72
006435;ASP6435;2025-12-29;SP;CE;Cliente A;SP x CE;2825;9;20777.17;1454.4;22231.57
006436;ERJ6436;2026-01-14;RJ;MG;Cliente E;RJ x MG;454;9;4358.05;0.0;4358.05
006437;CSP6437;2025-11-05;SP;CE;Cliente C;SP x CE;2794;6;21249.11;0.0;21249.11
006438;APR6438;2026-03-31;PR;PE;Cliente A;PR x PE;2666;5;19404.68;0.0;19404.68
006439;EMS6439;2026-03-24;MS;MG;Cliente E;MS x MG;1010;7;9358.96;0.0;9358.96
006440;CSP6440;2025-09-06;SP;BA;Cliente C;SP x BA;1469;9;14144.61;1697.35;15841.96
006441;APR6441;2026-02-27;PR;PE;Cliente A;PR x PE;2660;5;19629.82;0.0;19629.82
006442;BMS6442;2025-10-03;MS;MG;Cliente B;MS x MG;1015;6;8381.09;586.68;8967.77
006443;EMS6443;2025-11-21;MS;MG;Cliente E;MS x MG;1002;9;10502.71;0.0;10502.71
006444;ASC6444;2025-10-29;SC;SP;Cliente A;SC x SP;731;9;6681.73;467.72;7149.45
006445;ASC6445;2025-10-15;SC;SP;Cliente A;SC x SP;679;5;3558.59;427.03;3985.62
006446;ARJ6446;2025-12-19;RJ;MG;Cliente A;RJ x MG;414;5;3269.16;392.3;3661.46
006447;DMS6447;2026-01-03;MS;MG;Cliente D;MS x MG;1026;6;8812.27;616.86;9429.13
006448;AGO6448;2026-01-26;GO;SP;Cliente A;GO x SP;908;9;9889.79;0.0;9889.79
006449;DMG6449;2025-08-25;MG;RS;Cliente D;MG x RS;1701;6;12198.31;0.0;12198.31
006450;BPR6450;2025-08-01;PR;PE;Cliente B;PR x PE;2623;7;22455.69;2694.68;25150.37
006451;ASP6451;2025-09-13;SP;BA;Cliente A;SP x BA;1411;6;12326.9;862.88;13189.78
006452;ARJ6452;2026-03-18;RJ;MG;Cliente A;RJ x MG;434;9;3957.5;0.0;3957.5
006453;ASP6453;2025-11-03;SP;CE;Cliente A;SP x CE;2836;9;19928.25;2391.39;22319.64
006454;AMG6454;2025-09-08;MG;RS;Cliente A;MG x RS;1718;5;12752.52;1530.3;14282.82
006455;BRJ6455;2025-12-20;RJ;MG;Cliente B;RJ x MG;452;6;3250.07;390.01;3640.08
006456;BSC6456;2025-11-30;SC;SP;Cliente B;SC x SP;711;6;5397.78;377.84;5775.62
006457;BPR6457;2025-09-14;PR;PE;Cliente B;PR x PE;2627;9;28743.99;2012.08;30756.07
006458;APR6458;2025-08-21;PR;PE;Cliente A;PR x PE;2622;9;25827.25;0.0;25827.25
006459;CPR6459;2025-10-21;PR;PE;Cliente C;PR x PE;2673;7;25273.18;0.0;25273.18
006460;ASP6460;2025-12-20;SP;BA;Cliente A;SP x BA;1434;9;10499.97;735.0;11234.97
006461;DRJ6461;2025-09-08;RJ;MG;Cliente D;RJ x MG;411;9;3797.61;0.0;3797.61
006462;ESP6462;2025-12-23;SP;BA;Cliente E;SP x BA;1469;5;11155.3;0.0;11155.3
006463;BSP6463;2025-10-07;SP;CE;Cliente B;SP x CE;2836;9;27619.71;3314.37;30934.08
006464;APR6464;2025-09-06;PR;PE;Cliente A;PR x PE;2637;9;27350.24;3282.03;30632.27
006465;AGO6465;2026-03-24;GO;SP;Cliente A;GO x SP;899;9;6692.93;803.15;7496.08
006466;AMG6466;2026-03-08;MG;RS;Cliente A;MG x RS;1735;9;15846.99;0.0;15846.99
006467;AMG6467;2026-02-15;MG;RS;Cliente A;MG x RS;1729;9;16421.21;1149.48;17570.69
006468;ASC6468;2026-02-06;SC;SP;Cliente A;SC x SP;688;9;6895.53;482.69;7378.22
006469;BPR6469;2026-01-29;PR;PE;Cliente B;PR x PE;2624;7;22848.67;1599.41;24448.08
006470;AGO6470;2026-03-03;GO;SP;Cliente A;GO x SP;952;6;5301.2;636.14;5937.34
006471;DGO6471;2026-02-27;GO;SP;Cliente D;GO x SP;913;7;7878.1;551.47;8429.57
006472;DMS6472;2025-12-04;MS;MG;Cliente D;MS x MG;1014;7;8993.15;1079.18;10072.33
006473;CSP6473;2026-03-03;SP;CE;Cliente C;SP x CE;2802;6;24088.67;0.0;24088.67
006474;DSP6474;2025-11-07;SP;BA;Cliente D;SP x BA;1428;5;9254.47;0.0;9254.47
006475;EGO6475;2026-01-13;GO;SP;Cliente E;GO x SP;950;6;7094.01;851.28;7945.29
006476;BMS6476;2025-11-30;MS;MG;Cliente B;MS x MG;1054;5;8215.99;0.0;8215.99
006477;CMS6477;2026-01-03;MS;MG;Cliente C;MS x MG;1013;7;9379.78;1125.57;10505.35
006478;ARJ6478;2025-11-26;RJ;MG;Cliente A;RJ x MG;458;7;3016.4;0.0;3016.4
006479;CRJ6479;2025-08-02;RJ;MG;Cliente C;RJ x MG;441;5;3168.61;0.0;3168.61
006480;AMG6480;2025-12-02;MG;RS;Cliente A;MG x RS;1701;5;10046.7;0.0;10046.7
006481;AMG6481;2025-09-18;MG;RS;Cliente A;MG x RS;1723;7;11919.16;0.0;11919.16
006482;CRJ6482;2026-01-22;RJ;MG;Cliente C;RJ x MG;446;7;3580.88;429.71;4010.59
006483;AMG6483;2025-11-12;MG;RS;Cliente A;MG x RS;1740;9;12206.16;0.0;12206.16
006484;CGO6484;2026-01-23;GO;SP;Cliente C;GO x SP;917;6;7326.55;0.0;7326.55
006485;DSP6485;2026-03-05;SP;CE;Cliente D;SP x CE;2812;7;22733.54;0.0;22733.54
006486;CPR6486;2025-11-29;PR;PE;Cliente C;PR x PE;2638;5;17411.1;1218.78;18629.88
006487;DSP6487;2025-09-26;SP;CE;Cliente D;SP x CE;2821;5;19596.94;0.0;19596.94
006488;ARJ6488;2025-11-04;RJ;MG;Cliente A;RJ x MG;454;7;2903.06;0.0;2903.06
006489;BMS6489;2025-11-29;MS;MG;Cliente B;MS x MG;1054;5;8180.49;0.0;8180.49
006490;DRJ6490;2025-11-14;RJ;MG;Cliente D;RJ x MG;437;7;3439.2;0.0;3439.2
006491;AGO6491;2025-12-24;GO;SP;Cliente A;GO x SP;917;9;10106.83;707.48;10814.31
006492;ESP6492;2026-01-09;SP;BA;Cliente E;SP x BA;1441;7;13826.81;967.88;14794.69
006493;ASC6493;2026-02-11;SC;SP;Cliente A;SC x SP;692;6;5577.5;390.43;5967.93
006494;ARJ6494;2025-11-12;RJ;MG;Cliente A;RJ x MG;444;9;4413.13;308.92;4722.05
006495;ESP6495;2026-03-17;SP;CE;Cliente E;SP x CE;2840;5;19585.71;0.0;19585.71
006496;AMS6496;2026-01-08;MS;MG;Cliente A;MS x MG;1042;5;7033.56;0.0;7033.56
006497;APR6497;2025-12-07;PR;PE;Cliente A;PR x PE;2626;9;24369.06;0.0;24369.06
006498;AMG6498;2025-11-20;MG;RS;Cliente A;MG x RS;1711;7;16445.49;1973.46;18418.95
006499;AGO6499;2025-08-05;GO;SP;Cliente A;GO x SP;906;9;7154.81;500.84;7655.65
006500;CPR6500;2026-01-30;PR;PE;Cliente C;PR x PE;2627;7;23573.38;2828.81;26402.19
006501;EMS6501;2026-01-17;MS;MG;Cliente E;MS x MG;1037;5;6812.96;0.0;6812.96
006502;ASP6502;2025-11-06;SP;BA;Cliente A;SP x BA;1436;9;10471.66;0.0;10471.66
006503;AMS6503;2026-01-17;MS;MG;Cliente A;MS x MG;1018;9;7770.8;0.0;7770.8
006504;DPR6504;2025-12-09;PR;PE;Cliente D;PR x PE;2646;5;19847.96;1389.36;21237.32
006505;ASC6505;2026-02-16;SC;SP;Cliente A;SC x SP;687;6;4166.44;499.97;4666.41
006506;APR6506;2026-03-22;PR;PE;Cliente A;PR x PE;2622;9;21394.82;1497.64;22892.46
006507;ASP6507;2026-03-02;SP;BA;Cliente A;SP x BA;1468;5;10508.69;0.0;10508.69
006508;ESP6508;2026-03-20;SP;BA;Cliente E;SP x BA;1456;5;9893.86;1187.26;11081.12
006509;ASC6509;2026-02-25;SC;SP;Cliente A;SC x SP;678;5;3415.83;409.9;3825.73
006510;ASP6510;2025-08-03;SP;BA;Cliente A;SP x BA;1416;5;10501.93;1260.23;11762.16
006511;BMG6511;2025-11-04;MG;RS;Cliente B;MG x RS;1738;5;13291.91;1595.03;14886.94
006512;ASC6512;2026-01-24;SC;SP;Cliente A;SC x SP;692;9;7352.35;0.0;7352.35
006513;ASP6513;2026-03-30;SP;BA;Cliente A;SP x BA;1418;5;9306.56;0.0;9306.56
006514;BSC6514;2026-02-16;SC;SP;Cliente B;SC x SP;686;9;6645.3;465.17;7110.47
006515;BSC6515;2025-11-21;SC;SP;Cliente B;SC x SP;682;9;6153.48;738.42;6891.9
006516;AGO6516;2025-12-11;GO;SP;Cliente A;GO x SP;938;7;8503.98;595.28;9099.26
006517;BSP6517;2025-09-08;SP;CE;Cliente B;SP x CE;2822;9;30217.82;0.0;30217.82
006518;CMS6518;2025-12-08;MS;MG;Cliente C;MS x MG;999;6;8511.41;0.0;8511.41
006519;ASP6519;2025-10-22;SP;BA;Cliente A;SP x BA;1458;9;11965.71;837.6;12803.31
006520;CRJ6520;2025-08-21;RJ;MG;Cliente C;RJ x MG;429;6;3372.89;0.0;3372.89
006521;BSP6521;2025-11-23;SP;BA;Cliente B;SP x BA;1464;9;14049.47;0.0;14049.47
006522;EMS6522;2025-11-14;MS;MG;Cliente E;MS x MG;1005;9;9046.15;0.0;9046.15
